Sex,Age,SibSp,Parch,Fare,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S
tensor(0.),tensor(29.8811),tensor(0.),tensor(0.),tensor(8.0500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(29.8811),tensor(1.),tensor(0.),tensor(15.5000),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(1.),tensor(0.)
tensor(1.),tensor(29.8811),tensor(0.),tensor(0.),tensor(7.7500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(1.),tensor(0.)
tensor(0.),tensor(29.8811),tensor(2.),tensor(0.),tensor(21.6792),tensor(0.),tensor(0.),tensor(1.),tensor(1.),tensor(0.),tensor(0.)
tensor(1.),tensor(18.),tensor(1.),tensor(0.),tensor(17.8000),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(7.),tensor(4.),tensor(1.),tensor(39.6875),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(21.),tensor(0.),tensor(0.),tensor(7.8000),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(49.),tensor(1.),tensor(0.),tensor(76.7292),tensor(1.),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.)
tensor(1.),tensor(29.),tensor(1.),tensor(0.),tensor(26.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(65.),tensor(0.),tensor(1.),tensor(61.9792),tensor(1.),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.)
tensor(0.),tensor(29.8811),tensor(0.),tensor(0.),tensor(35.5000),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(21.),tensor(0.),tensor(0.),tensor(10.5000),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(28.5000),tensor(0.),tensor(0.),tensor(7.2292),tensor(0.),tensor(0.),tensor(1.),tensor(1.),tensor(0.),tensor(0.)
tensor(1.),tensor(5.),tensor(1.),tensor(2.),tensor(27.7500),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(11.),tensor(5.),tensor(2.),tensor(46.9000),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(22.),tensor(0.),tensor(0.),tensor(7.2292),tensor(0.),tensor(0.),tensor(1.),tensor(1.),tensor(0.),tensor(0.)
tensor(1.),tensor(38.),tensor(0.),tensor(0.),tensor(80.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(45.),tensor(1.),tensor(0.),tensor(83.4750),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(4.),tensor(3.),tensor(2.),tensor(27.9000),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(29.8811),tensor(0.),tensor(0.),tensor(27.7208),tensor(1.),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.)
tensor(0.),tensor(29.8811),tensor(1.),tensor(1.),tensor(15.2458),tensor(0.),tensor(0.),tensor(1.),tensor(1.),tensor(0.),tensor(0.)
tensor(1.),tensor(29.),tensor(0.),tensor(0.),tensor(10.5000),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(19.),tensor(0.),tensor(0.),tensor(8.1583),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(17.),tensor(4.),tensor(2.),tensor(7.9250),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(26.),tensor(2.),tensor(0.),tensor(8.6625),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(32.),tensor(0.),tensor(0.),tensor(10.5000),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(16.),tensor(5.),tensor(2.),tensor(46.9000),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(21.),tensor(0.),tensor(0.),tensor(73.5000),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(26.),tensor(1.),tensor(0.),tensor(14.4542),tensor(0.),tensor(0.),tensor(1.),tensor(1.),tensor(0.),tensor(0.)
tensor(0.),tensor(32.),tensor(0.),tensor(0.),tensor(56.4958),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(25.),tensor(0.),tensor(0.),tensor(7.6500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(29.8811),tensor(0.),tensor(0.),tensor(7.8958),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(29.8811),tensor(0.),tensor(0.),tensor(8.0500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(0.8300),tensor(0.),tensor(2.),tensor(29.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(30.),tensor(0.),tensor(0.),tensor(12.4750),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(22.),tensor(0.),tensor(0.),tensor(9.),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(29.),tensor(0.),tensor(0.),tensor(9.5000),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(29.8811),tensor(0.),tensor(0.),tensor(7.7875),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(1.),tensor(0.)
tensor(0.),tensor(28.),tensor(0.),tensor(0.),tensor(47.1000),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(17.),tensor(0.),tensor(0.),tensor(10.5000),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(33.),tensor(3.),tensor(0.),tensor(15.8500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(16.),tensor(1.),tensor(3.),tensor(34.3750),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(29.8811),tensor(0.),tensor(0.),tensor(8.0500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(23.),tensor(3.),tensor(2.),tensor(263.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(24.),tensor(0.),tensor(0.),tensor(8.0500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(29.),tensor(0.),tensor(0.),tensor(8.0500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(20.),tensor(0.),tensor(0.),tensor(7.8542),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(46.),tensor(1.),tensor(0.),tensor(61.1750),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(26.),tensor(1.),tensor(2.),tensor(20.5750),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(59.),tensor(0.),tensor(0.),tensor(7.2500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(29.8811),tensor(0.),tensor(0.),tensor(8.0500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(71.),tensor(0.),tensor(0.),tensor(34.6542),tensor(1.),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.)
tensor(0.),tensor(23.),tensor(0.),tensor(1.),tensor(63.3583),tensor(1.),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.)
tensor(1.),tensor(34.),tensor(0.),tensor(1.),tensor(23.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(34.),tensor(1.),tensor(0.),tensor(26.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(28.),tensor(0.),tensor(0.),tensor(7.8958),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(29.8811),tensor(0.),tensor(0.),tensor(7.8958),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(21.),tensor(0.),tensor(1.),tensor(77.2875),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(33.),tensor(0.),tensor(0.),tensor(8.6542),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(37.),tensor(2.),tensor(0.),tensor(7.9250),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(28.),tensor(0.),tensor(0.),tensor(7.8958),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(21.),tensor(0.),tensor(0.),tensor(7.6500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(29.8811),tensor(0.),tensor(0.),tensor(7.7750),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(38.),tensor(0.),tensor(0.),tensor(7.8958),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(29.8811),tensor(1.),tensor(0.),tensor(24.1500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(1.),tensor(0.)
tensor(0.),tensor(47.),tensor(0.),tensor(0.),tensor(52.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(14.5000),tensor(1.),tensor(0.),tensor(14.4542),tensor(0.),tensor(0.),tensor(1.),tensor(1.),tensor(0.),tensor(0.)
tensor(0.),tensor(22.),tensor(0.),tensor(0.),tensor(8.0500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(20.),tensor(1.),tensor(0.),tensor(9.8250),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(17.),tensor(0.),tensor(0.),tensor(14.4583),tensor(0.),tensor(0.),tensor(1.),tensor(1.),tensor(0.),tensor(0.)
tensor(0.),tensor(21.),tensor(0.),tensor(0.),tensor(7.9250),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(70.5000),tensor(0.),tensor(0.),tensor(7.7500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(1.),tensor(0.)
tensor(0.),tensor(29.),tensor(1.),tensor(0.),tensor(21.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(24.),tensor(0.),tensor(1.),tensor(247.5208),tensor(1.),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.)
tensor(1.),tensor(2.),tensor(4.),tensor(2.),tensor(31.2750),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(21.),tensor(2.),tensor(0.),tensor(73.5000),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(29.8811),tensor(0.),tensor(0.),tensor(8.0500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(32.5000),tensor(1.),tensor(0.),tensor(30.0708),tensor(0.),tensor(1.),tensor(0.),tensor(1.),tensor(0.),tensor(0.)
tensor(1.),tensor(32.5000),tensor(0.),tensor(0.),tensor(13.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(54.),tensor(0.),tensor(1.),tensor(77.2875),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(12.),tensor(1.),tensor(0.),tensor(11.2417),tensor(0.),tensor(0.),tensor(1.),tensor(1.),tensor(0.),tensor(0.)
tensor(0.),tensor(29.8811),tensor(0.),tensor(0.),tensor(7.7500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(1.),tensor(0.)
tensor(0.),tensor(24.),tensor(0.),tensor(0.),tensor(7.1417),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(29.8811),tensor(1.),tensor(1.),tensor(22.3583),tensor(0.),tensor(0.),tensor(1.),tensor(1.),tensor(0.),tensor(0.)
tensor(0.),tensor(45.),tensor(0.),tensor(0.),tensor(6.9750),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(33.),tensor(0.),tensor(0.),tensor(7.8958),tensor(0.),tensor(0.),tensor(1.),tensor(1.),tensor(0.),tensor(0.)
tensor(0.),tensor(20.),tensor(0.),tensor(0.),tensor(7.0500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(47.),tensor(1.),tensor(0.),tensor(14.5000),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(29.),tensor(1.),tensor(0.),tensor(26.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(25.),tensor(0.),tensor(0.),tensor(13.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(23.),tensor(0.),tensor(0.),tensor(15.0458),tensor(0.),tensor(1.),tensor(0.),tensor(1.),tensor(0.),tensor(0.)
tensor(1.),tensor(19.),tensor(0.),tensor(2.),tensor(26.2833),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(37.),tensor(1.),tensor(0.),tensor(53.1000),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(16.),tensor(0.),tensor(0.),tensor(9.2167),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(24.),tensor(0.),tensor(0.),tensor(79.2000),tensor(1.),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.)
tensor(1.),tensor(29.8811),tensor(0.),tensor(2.),tensor(15.2458),tensor(0.),tensor(0.),tensor(1.),tensor(1.),tensor(0.),tensor(0.)
tensor(1.),tensor(22.),tensor(0.),tensor(0.),tensor(7.7500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(24.),tensor(1.),tensor(0.),tensor(15.8500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(19.),tensor(0.),tensor(0.),tensor(6.7500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(1.),tensor(0.)
tensor(0.),tensor(18.),tensor(0.),tensor(0.),tensor(11.5000),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(19.),tensor(1.),tensor(1.),tensor(36.7500),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(27.),tensor(0.),tensor(0.),tensor(7.7958),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(9.),tensor(2.),tensor(2.),tensor(34.3750),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(36.5000),tensor(0.),tensor(2.),tensor(26.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(42.),tensor(0.),tensor(0.),tensor(13.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(51.),tensor(0.),tensor(0.),tensor(12.5250),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(22.),tensor(1.),tensor(0.),tensor(66.6000),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(55.5000),tensor(0.),tensor(0.),tensor(8.0500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(40.5000),tensor(0.),tensor(2.),tensor(14.5000),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(29.8811),tensor(0.),tensor(0.),tensor(7.3125),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(51.),tensor(0.),tensor(1.),tensor(61.3792),tensor(1.),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.)
tensor(1.),tensor(16.),tensor(0.),tensor(0.),tensor(7.7333),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(1.),tensor(0.)
tensor(0.),tensor(30.),tensor(0.),tensor(0.),tensor(8.0500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(29.8811),tensor(0.),tensor(0.),tensor(8.6625),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(29.8811),tensor(8.),tensor(2.),tensor(69.5500),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(44.),tensor(0.),tensor(1.),tensor(16.1000),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(40.),tensor(0.),tensor(0.),tensor(15.7500),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(26.),tensor(0.),tensor(0.),tensor(7.7750),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(17.),tensor(0.),tensor(0.),tensor(8.6625),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(1.),tensor(4.),tensor(1.),tensor(39.6875),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(9.),tensor(0.),tensor(2.),tensor(20.5250),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(29.8811),tensor(0.),tensor(1.),tensor(55.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(1.),tensor(45.),tensor(1.),tensor(4.),tensor(27.9000),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(29.8811),tensor(0.),tensor(0.),tensor(25.9250),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(28.),tensor(0.),tensor(0.),tensor(56.4958),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(61.),tensor(0.),tensor(0.),tensor(33.5000),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(0.),tensor(1.)
tensor(0.),tensor(4.),tensor(4.),tensor(1.),tensor(29.1250),tensor(0.),tensor(0.),tensor(1.),tensor(0.),tensor(1.),tensor(0.)
